,N,i2f,numba,cupy,segyio
205,2050,0.00937303372857059,0.013462312880001265,0.007826375720032957,0.020415281259995484
206,2060,0.009374378774286925,0.013557698099975823,0.007919894020087668,0.020053206599998246
207,2070,0.009453833612857513,0.013670697460038355,0.00792802693998965,0.023284171239999978
208,2080,0.00950941252285832,0.013811338640007307,0.007916499839993776,0.01953125490000048
209,2090,0.009582383945713837,0.01384386583995365,0.00802784175997658,0.02155650795999918
210,2100,0.009570289858571803,0.013915015019883866,0.008248322699946584,0.02057700699999941
211,2110,0.009672593459999266,0.013891783200015198,0.008448973560007289,0.020723810079998656
212,2120,0.009697554877143374,0.014081744540017099,0.008406385340058478,0.020455093460002443
213,2130,0.009734802225713922,0.014094083159943694,0.008041489179886412,0.02096239211999773
214,2140,0.009777336044283921,0.014238338319919422,0.008480761819955659,0.01987276333999944
215,2150,0.009796183524285879,0.014317643319955095,0.00842269856009807,0.022529201319996445
216,2160,0.009931052137142486,0.014266570839899942,0.008263060399985988,0.020430398120001882
217,2170,0.00992350414285803,0.014454496619946439,0.008277817519992823,0.020983814479998274
218,2180,0.009962589471429056,0.014552304999888294,0.008324667400011093,0.021021604620002562
219,2190,0.01003030893428591,0.014520001559940283,0.008945906099979766,0.022093104939999646
220,2200,0.010053909832856464,0.014732882160096777,0.00849464271996112,0.01976039935999779
